experiment_index,elapsed,label,experiment
1,118,10 - Friends recommendation,default
2,5,10 - Friends recommendation,default
3,4,10 - Friends recommendation,default
4,4,10 - Friends recommendation,default
5,14,10 - Friends recommendation,default
6,4,10 - Friends recommendation,default
7,4,10 - Friends recommendation,default
8,4,10 - Friends recommendation,default
9,14,10 - Friends recommendation,default
10,3,10 - Friends recommendation,default
11,4,10 - Friends recommendation,default
12,3,10 - Friends recommendation,default
13,14,10 - Friends recommendation,default
14,4,10 - Friends recommendation,default
15,3,10 - Friends recommendation,default
16,3,10 - Friends recommendation,default
1,118,10 - Friends recommendation,1GB
2,4,10 - Friends recommendation,1GB
3,4,10 - Friends recommendation,1GB
4,5,10 - Friends recommendation,1GB
5,14,10 - Friends recommendation,1GB
6,4,10 - Friends recommendation,1GB
7,5,10 - Friends recommendation,1GB
8,4,10 - Friends recommendation,1GB
9,14,10 - Friends recommendation,1GB
10,3,10 - Friends recommendation,1GB
11,3,10 - Friends recommendation,1GB
12,3,10 - Friends recommendation,1GB
13,13,10 - Friends recommendation,1GB
14,5,10 - Friends recommendation,1GB
15,4,10 - Friends recommendation,1GB
16,3,10 - Friends recommendation,1GB
1,118,10 - Friends recommendation,2GB
2,4,10 - Friends recommendation,2GB
3,4,10 - Friends recommendation,2GB
4,4,10 - Friends recommendation,2GB
5,14,10 - Friends recommendation,2GB
6,5,10 - Friends recommendation,2GB
7,4,10 - Friends recommendation,2GB
8,4,10 - Friends recommendation,2GB
9,14,10 - Friends recommendation,2GB
10,3,10 - Friends recommendation,2GB
11,2,10 - Friends recommendation,2GB
12,3,10 - Friends recommendation,2GB
13,13,10 - Friends recommendation,2GB
14,4,10 - Friends recommendation,2GB
15,3,10 - Friends recommendation,2GB
16,4,10 - Friends recommendation,2GB
1,121,10 - Friends recommendation,4GB
2,5,10 - Friends recommendation,4GB
3,4,10 - Friends recommendation,4GB
4,4,10 - Friends recommendation,4GB
5,15,10 - Friends recommendation,4GB
6,4,10 - Friends recommendation,4GB
7,4,10 - Friends recommendation,4GB
8,4,10 - Friends recommendation,4GB
9,13,10 - Friends recommendation,4GB
10,2,10 - Friends recommendation,4GB
11,2,10 - Friends recommendation,4GB
12,2,10 - Friends recommendation,4GB
13,14,10 - Friends recommendation,4GB
14,3,10 - Friends recommendation,4GB
15,3,10 - Friends recommendation,4GB
16,3,10 - Friends recommendation,4GB
1,121,10 - Friends recommendation,8GB
2,4,10 - Friends recommendation,8GB
3,5,10 - Friends recommendation,8GB
4,4,10 - Friends recommendation,8GB
5,14,10 - Friends recommendation,8GB
6,5,10 - Friends recommendation,8GB
7,3,10 - Friends recommendation,8GB
8,4,10 - Friends recommendation,8GB
9,13,10 - Friends recommendation,8GB
10,3,10 - Friends recommendation,8GB
11,3,10 - Friends recommendation,8GB
12,3,10 - Friends recommendation,8GB
13,13,10 - Friends recommendation,8GB
14,4,10 - Friends recommendation,8GB
15,3,10 - Friends recommendation,8GB
16,3,10 - Friends recommendation,8GB
