experiment_index,elapsed,label,experiment
1,99,10 - Friends recommendation,default
2,4,10 - Friends recommendation,default
3,2,10 - Friends recommendation,default
4,3,10 - Friends recommendation,default
5,10,10 - Friends recommendation,default
6,2,10 - Friends recommendation,default
7,2,10 - Friends recommendation,default
8,2,10 - Friends recommendation,default
9,8,10 - Friends recommendation,default
10,2,10 - Friends recommendation,default
11,1,10 - Friends recommendation,default
12,1,10 - Friends recommendation,default
13,8,10 - Friends recommendation,default
14,2,10 - Friends recommendation,default
15,2,10 - Friends recommendation,default
16,2,10 - Friends recommendation,default
1,93,10 - Friends recommendation,1GB
2,3,10 - Friends recommendation,1GB
3,2,10 - Friends recommendation,1GB
4,3,10 - Friends recommendation,1GB
5,10,10 - Friends recommendation,1GB
6,2,10 - Friends recommendation,1GB
7,3,10 - Friends recommendation,1GB
8,2,10 - Friends recommendation,1GB
9,9,10 - Friends recommendation,1GB
10,1,10 - Friends recommendation,1GB
11,2,10 - Friends recommendation,1GB
12,1,10 - Friends recommendation,1GB
13,9,10 - Friends recommendation,1GB
14,2,10 - Friends recommendation,1GB
15,2,10 - Friends recommendation,1GB
16,1,10 - Friends recommendation,1GB
1,94,10 - Friends recommendation,2GB
2,3,10 - Friends recommendation,2GB
3,2,10 - Friends recommendation,2GB
4,2,10 - Friends recommendation,2GB
5,11,10 - Friends recommendation,2GB
6,2,10 - Friends recommendation,2GB
7,3,10 - Friends recommendation,2GB
8,2,10 - Friends recommendation,2GB
9,8,10 - Friends recommendation,2GB
10,1,10 - Friends recommendation,2GB
11,2,10 - Friends recommendation,2GB
12,1,10 - Friends recommendation,2GB
13,9,10 - Friends recommendation,2GB
14,2,10 - Friends recommendation,2GB
15,2,10 - Friends recommendation,2GB
16,1,10 - Friends recommendation,2GB
1,90,10 - Friends recommendation,4GB
2,3,10 - Friends recommendation,4GB
3,2,10 - Friends recommendation,4GB
4,2,10 - Friends recommendation,4GB
5,10,10 - Friends recommendation,4GB
6,2,10 - Friends recommendation,4GB
7,2,10 - Friends recommendation,4GB
8,2,10 - Friends recommendation,4GB
9,8,10 - Friends recommendation,4GB
10,2,10 - Friends recommendation,4GB
11,1,10 - Friends recommendation,4GB
12,2,10 - Friends recommendation,4GB
13,9,10 - Friends recommendation,4GB
14,2,10 - Friends recommendation,4GB
15,1,10 - Friends recommendation,4GB
16,1,10 - Friends recommendation,4GB
1,96,10 - Friends recommendation,8GB
2,3,10 - Friends recommendation,8GB
3,2,10 - Friends recommendation,8GB
4,3,10 - Friends recommendation,8GB
5,10,10 - Friends recommendation,8GB
6,2,10 - Friends recommendation,8GB
7,2,10 - Friends recommendation,8GB
8,2,10 - Friends recommendation,8GB
9,9,10 - Friends recommendation,8GB
10,2,10 - Friends recommendation,8GB
11,1,10 - Friends recommendation,8GB
12,2,10 - Friends recommendation,8GB
13,9,10 - Friends recommendation,8GB
14,1,10 - Friends recommendation,8GB
15,2,10 - Friends recommendation,8GB
16,2,10 - Friends recommendation,8GB
